PSR %CPU
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  1 16.3
  3  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  1 16.2
  3  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  1 16.5
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  3 16.7
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  1 16.8
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  3 16.9
  2  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  1 17.2
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 17.3
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  1 17.4
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 17.7
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  1 17.8
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 17.9
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  1 18.2
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 18.3
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 18.3
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  1 18.6
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  1 18.8
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 18.8
  3  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 19.0
  3  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  3  0.5
PSR %CPU
  3 19.0
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  1 19.1
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  1 19.1
  3  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  3 19.4
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  1 19.6
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  3 19.6
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  3 19.7
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  3 19.9
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 19.9
  1  0.6
  0  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 20.0
  1  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 20.2
  2  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 20.3
  2  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  3 20.3
  1  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  1 20.4
  0  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  3  0.5
PSR %CPU
  1 20.5
  0  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.5
  0  0.5
PSR %CPU
  1 20.6
  0  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.5
  0  0.5
PSR %CPU
  3 20.7
  0  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.5
  0  0.5
PSR %CPU
  3 20.8
  0  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  3  0.5
PSR %CPU
  3 21.0
  0  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.5
  3  0.5
PSR %CPU
  3 21.0
  0  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  3  0.5
PSR %CPU
  3 21.0
  2  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.5
  3  0.5
PSR %CPU
  3 21.3
  2  0.6
  0  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  3  0.5
PSR %CPU
  3 21.3
  2  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.5
  2  0.5
PSR %CPU
  3 21.5
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.5
  2  0.5
PSR %CPU
  3 21.6
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  1 21.6
  3  0.6
  0  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  3 21.8
  2  0.7
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
