PSR %CPU
PSR %CPU
  3  0.6
  1  0.1
  3  0.1
  1  0.0
  3  0.0
  1  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  3  0.6
  1  0.1
  3  0.1
  1  0.0
  3  0.0
  0  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  3  0.6
  3  0.1
  3  0.1
  1  0.0
  0  0.0
  0  0.0
  3  0.0
  3  0.0
  3  0.0
PSR %CPU
  3  0.6
  3  0.1
  3  0.1
  1  0.0
  1  0.0
  1  0.0
  3  0.0
  3  0.0
  3  0.0
PSR %CPU
  3  0.6
  3  0.1
  3  0.1
  1  0.0
  1  0.0
  1  0.1
  3  0.1
  3  0.0
  3  0.0
PSR %CPU
  0  0.6
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  1  0.1
  0  0.1
  1  0.0
  0  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  1  0.1
  1  0.1
  2  0.0
  0  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  1  0.1
  2  0.1
  0  0.0
  2  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  2  0.1
  2  0.1
  2  0.0
  2  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  2  0.1
  2  0.1
  2  0.0
  0  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  1  0.0
  2  0.1
  2  0.1
  2  0.0
  0  0.0
PSR %CPU
  0  0.7
  0  0.1
  1  0.1
  1  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  0  0.0
PSR %CPU
  0  0.8
  0  0.1
  1  0.1
  1  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  0  0.0
PSR %CPU
  0  0.8
  0  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  1  0.0
PSR %CPU
  0  0.8
  0  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  1  0.0
PSR %CPU
  0  0.8
  1  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  1  0.0
PSR %CPU
  0  0.8
  1  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  1  0.0
PSR %CPU
  0  0.8
  1  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  2  0.0
PSR %CPU
  0  0.8
  1  0.1
  1  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  2  0.0
PSR %CPU
  1  0.9
  1  0.1
  2  0.1
  2  0.0
  2  0.0
  2  0.1
  2  0.1
  2  0.0
  3  0.0
PSR %CPU
  1  0.9
  1  0.1
  2  0.1
  1  0.0
  2  0.0
  1  0.1
  2  0.1
  2  0.0
  3  0.0
PSR %CPU
  1  0.9
  1  0.1
  1  0.1
  1  0.0
  0  0.0
  1  0.1
  3  0.1
  3  0.0
  3  0.0
PSR %CPU
  1  0.9
  1  0.1
  1  0.1
  1  0.0
  1  0.0
  1  0.1
  3  0.1
  3  0.0
  3  0.0
PSR %CPU
  1  1.0
  3  0.1
  1  0.1
  1  0.0
  3  0.0
  3  0.1
  3  0.1
  3  0.0
  3  0.0
PSR %CPU
  1  1.0
  3  0.1
  3  0.1
  3  0.0
  3  0.0
  1  0.1
  3  0.1
  3  0.0
  3  0.0
PSR %CPU
  1  1.0
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  3  0.0
  1  0.0
PSR %CPU
  1  1.0
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  3  0.0
  1  0.0
PSR %CPU
  1  1.0
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  0  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  1  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  1  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  3  0.0
  0  0.1
  1  0.1
  1  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  1  0.0
  0  0.1
  1  0.1
  1  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  1  0.0
  0  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  3  0.0
  0  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  1  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  2  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  3  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  3  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  0  0.1
  0  0.0
  1  0.0
PSR %CPU
  1  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  0  0.1
  0  0.0
  1  0.0
PSR %CPU
  0  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  0  0.1
  0  0.0
  1  0.0
PSR %CPU
  0  1.1
  3  0.1
  3  0.2
  0  0.0
  0  0.0
  1  0.1
  0  0.1
  0  0.0
  1  0.0
PSR %CPU
  0  1.1
  3  0.1
  3  0.2
  1  0.0
  0  0.0
  1  0.1
  0  0.1
  0  0.0
  2  0.0
PSR %CPU
  0  1.1
  0  0.1
  3  0.2
  2  0.0
  0  0.0
  1  0.1
  2  0.1
  0  0.0
  2  0.0
PSR %CPU
  0  1.1
  1  0.1
  0  0.2
  2  0.0
  0  0.0
  1  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  2  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  1  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  1  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  1  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  1  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  1  1.2
  2  0.1
  3  0.2
  2  0.0
  0  0.0
  2  0.1
  2  0.1
  0  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  1  0.0
  1  0.0
  1  0.0
  2  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  0  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  3  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  0  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  1  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
  0  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  2  0.0
  2  0.0
  2  0.0
  0  0.0
  1  0.0
  1  0.0
PSR %CPU
  3  0.0
  3  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  2  0.0
  0  0.0
  3  0.0
  3  0.0
  3  0.0
  2  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  2  0.0
  0  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  2  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
  1  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
  2  0.0
  0  0.0
  2  0.0
PSR %CPU
  3  0.0
  2  0.0
  3  0.0
  1  0.0
  1  0.0
  3  0.0
  3  0.0
  0  0.0
  2  0.0
PSR %CPU
  0  0.0
  2  0.0
  0  0.0
  2  0.0
  1  0.0
  0  0.0
  3  0.0
  1  0.0
  2  0.0
PSR %CPU
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  1  0.0
  0  0.0
  3  0.0
  2  0.0
  3  0.0
PSR %CPU
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  1  0.0
  0  0.0
  3  0.0
  0  0.0
  3  0.0
PSR %CPU
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  1  0.0
  0  0.0
  3  0.0
  0  0.0
  3  0.0
PSR %CPU
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
  0  0.0
  3  0.0
PSR %CPU
  0  0.0
  3  0.0
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  3  0.0
  2  0.0
  0  0.0
PSR %CPU
  1  0.0
  3  0.0
  3  0.0
  3  0.0
  1  0.0
  1  0.0
  1  0.0
  2  0.0
  0  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  0  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  3  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  3  0.0
  1  0.0
PSR %CPU
  1  0.0
  3  0.0
  2  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
PSR %CPU
  1  0.0
  3  0.0
  0  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  1  0.0
  2  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  2  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  1  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  0  0.0
  0  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  0  0.0
  1  0.0
  2  0.0
  1  0.0
  2  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  1  0.0
  0  0.0
  1  0.0
  2  0.0
  2  0.0
  2  0.0
  3  0.0
PSR %CPU
  2  0.0
  3  0.0
  3  0.0
  0  0.0
  1  0.0
  3  0.0
  2  0.0
  3  0.0
  2  0.0
